firm,contact_name,phone,email,website,address,state,metro,rating,reviews
"Alabama Personal Injury Lawyers, LLC",,(205) 855-2745,,http://www.alabamapersonalinjurylawyers.com/?utm_source=GMBlisting&utm_medium=organic,"1100 23rd St S, Birmingham, AL 35205, USA",AL,"Birmingham, AL",5,240
Morris Bart Personal Injury Lawyers,,(205) 380-4158,,https://www.morrisbart.com/location/birmingham/,"1914 4th Ave N Ste 420, Birmingham, AL 35203, USA",AL,"Birmingham, AL",4.9,1193
"Collins Law, LLC",,(205) 588-1411,,https://www.acollinslaw.com/?utm_source=local&utm_medium=organic&utm_campaign=birminghamgmb,"3305 Oakhill Dr, Birmingham, AL 35216, USA",AL,"Birmingham, AL",5,234
"Farris, Riley & Pitt, LLP",,(205) 407-1808,,https://www.frplegal.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Birmingham,"1728 3rd Ave N Fifth Floor, Birmingham, AL 35203, USA",AL,"Birmingham, AL",4.8,484
"Guster Law Firm, LLC",,(205) 581-9777,,https://injury.gusterlawfirm.com/,"9964 Parkway E, Birmingham, AL 35215, USA",AL,"Birmingham, AL",4.9,1859
"Belt, Bruner & Barnett Personal Injury Lawyers Birmingham",,(659) 300-5233,,https://www.alabamainjurylawyer.com/?utm_campaign=gmb,"880 Montclair Rd Ste 300, Birmingham, AL 35213, USA",AL,"Birmingham, AL",4.9,174
Fob James Law Firm,,(205) 407-6009,,https://callfob.com/,"2226 1st Ave S Ste 105, Birmingham, AL 35233, USA",AL,"Birmingham, AL",4.9,80
Monge & Associates Injury and Accident Attorneys,,(205) 851-1912,,https://www.becauseyouwanttowin.com/birmingham-al-personal-injury-lawyer/,"1117 22nd St S #202, Birmingham, AL 35205, USA",AL,"Birmingham, AL",4.9,273
Wettermark Keith Personal Injury Lawyers,,(205) 809-7949,,https://wkfirm.com/practice-areas/birmingham/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-birmingham,"100 Grandview Pl Ste 530, Birmingham, AL 35243, USA",AL,"Birmingham, AL",4.8,1888
"Heninger Garrison Davis, LLC",,(659) 222-4880,,https://www.hgdlawfirm.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-birmingham,"2224 1st Ave N, Birmingham, AL 35203, USA",AL,"Birmingham, AL",4.9,910
Norris Injury Lawyers,,(800) 477-7510,,https://www.norrisinjurylawyers.com/?utm_source=google&utm_medium=organic&utm_campaign=local,"201 Vulcan Rd, Birmingham, AL 35209, USA",AL,"Birmingham, AL",4.8,890
